0, 1, 22:42:22:913
0, 1, 22:42:22:913
1, 1, 22:42:27:021
0, 1, 22:42:27:021
2, 1, 22:42:30:629
0, 1, 22:42:30:629
0, 2, 22:42:30:795
0, 2, 22:42:30:795
3, 1, 22:42:33:875
0, 1, 22:42:33:875
0, 2, 22:42:34:435
0, 2, 22:42:34:435
1, 2, 22:42:35:095
0, 2, 22:42:35:095
4, 1, 22:42:36:794
0, 1, 22:42:36:794
5, 1, 22:42:39:430
0, 1, 22:42:39:430
2, 2, 22:42:41:673
0, 2, 22:42:41:673
6, 1, 22:42:41:799
0, 1, 22:42:41:799
7, 1, 22:42:44:003
0, 1, 22:42:44:003
3, 2, 22:42:45:036
0, 2, 22:42:45:036
4, 2, 22:42:45:059
0, 2, 22:42:45:059
8, 1, 22:42:46:131
0, 1, 22:42:46:131
9, 1, 22:42:48:054
0, 1, 22:42:48:054
10, 1, 22:42:49:786
0, 1, 22:42:49:786
6, 2, 22:42:49:939
0, 2, 22:42:49:939
5, 3, 22:42:50:900
0, 3, 22:42:50:900
11, 1, 22:42:51:518
0, 1, 22:42:51:518
12, 1, 22:42:53:069
0, 1, 22:42:53:069
13, 1, 22:42:54:465
0, 1, 22:42:54:465
7, 2, 22:42:54:921
0, 2, 22:42:54:921
14, 1, 22:42:55:862
0, 1, 22:42:55:862
9, 2, 22:42:56:138
0, 2, 22:42:56:138
8, 2, 22:42:56:920
0, 2, 22:42:56:920
15, 1, 22:42:57:257
0, 1, 22:42:57:257
16, 1, 22:42:58:521
0, 1, 22:42:58:521
11, 2, 22:42:59:612
0, 2, 22:42:59:612
17, 1, 22:42:59:782
0, 1, 22:42:59:782
18, 1, 22:43:00:923
0, 1, 22:43:00:923
10, 2, 22:43:01:154
0, 2, 22:43:01:154
19, 1, 22:43:02:061
0, 1, 22:43:02:061
20, 1, 22:43:03:079
0, 1, 22:43:03:079
14, 2, 22:43:03:978
0, 2, 22:43:03:978
21, 1, 22:43:04:106
0, 1, 22:43:04:106
12, 2, 22:43:04:113
0, 2, 22:43:04:114
22, 1, 22:43:05:132
0, 1, 22:43:05:132
13, 2, 22:43:05:421
0, 2, 22:43:05:421
23, 1, 22:43:06:050
0, 1, 22:43:06:050
16, 2, 22:43:06:616
0, 2, 22:43:06:616
24, 1, 22:43:06:965
0, 1, 22:43:06:965
25, 1, 22:43:07:883
0, 1, 22:43:07:883
15, 2, 22:43:08:782
0, 2, 22:43:08:783
26, 1, 22:43:08:798
0, 1, 22:43:08:798
27, 1, 22:43:09:714
0, 1, 22:43:09:714
19, 2, 22:43:10:224
0, 2, 22:43:10:224
17, 2, 22:43:10:614
0, 2, 22:43:10:614
28, 1, 22:43:10:629
0, 1, 22:43:10:629
29, 1, 22:43:11:545
0, 1, 22:43:11:545
18, 2, 22:43:11:719
0, 2, 22:43:11:719
30, 1, 22:43:12:461
0, 1, 22:43:12:461
21, 2, 22:43:12:512
0, 2, 22:43:12:512
31, 1, 22:43:13:378
0, 1, 22:43:13:378
32, 1, 22:43:14:304
0, 1, 22:43:14:304
20, 2, 22:43:14:758
0, 2, 22:43:14:758
24, 2, 22:43:15:215
0, 2, 22:43:15:215
33, 1, 22:43:15:220
0, 1, 22:43:15:220
34, 1, 22:43:16:136
0, 1, 22:43:16:136
22, 2, 22:43:16:400
0, 2, 22:43:16:400
35, 1, 22:43:17:052
0, 1, 22:43:17:052
26, 2, 22:43:17:293
0, 2, 22:43:17:293
23, 2, 22:43:17:717
0, 2, 22:43:17:717
36, 1, 22:43:17:968
0, 1, 22:43:17:968
37, 1, 22:43:18:884
0, 1, 22:43:18:884
25, 2, 22:43:19:616
0, 2, 22:43:19:616
38, 1, 22:43:19:800
0, 1, 22:43:19:800
29, 2, 22:43:20:298
0, 2, 22:43:20:299
27, 2, 22:43:20:701
0, 2, 22:43:20:701
39, 1, 22:43:20:716
0, 1, 22:43:20:716
31, 3, 22:43:21:582
0, 3, 22:43:21:582
40, 1, 22:43:21:631
0, 1, 22:43:21:631
28, 2, 22:43:22:342
0, 2, 22:43:22:342
41, 1, 22:43:22:547
0, 1, 22:43:22:547
42, 1, 22:43:23:464
0, 1, 22:43:23:464
30, 2, 22:43:23:839
0, 2, 22:43:23:839
